,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,ID,Item,Adicional 1,Adicional 2,Adicional 3,Variação,Tipo,Cat. ABC,Custo do Lote,Un. Por Lote,Custo de Produção (1 un.),Custo Total (1 un.)
,1,Carro Chefe Simples,,,,,,,4.863898833883389,1,4.863898833883389,8.420369785259131
,2,Carro Chefe Com Cheddar,,,,,,,0,1,0,0
,3,Chefão,,,,,,,9.90558723968049,1,9.90558723968049,15.355291939037812
,8,Espeto Simples,,,,,,,6.773777777777779,1,6.773777777777779,10.8474384838759
,9,Espeto Completo,,,,,,,6.980448888888889,1,6.980448888888889,11.13171786642213
,10,Adc. Batata Palha,,,,,,,0.37374999999999997,1,0.37374999999999997,0.514099037138927
,11,Adc. Cheddar,,,,,,,4.591,4,1.14775,1.578748280605227
,12,Adc. Mussarela,,,,,,,3.3333333333333335,1,3.3333333333333335,4.5850527281063735
,13,Adc. Parmesão,,,,,,,7.775,1,7.775,10.694635488308116
,14,Adc. Queijo Ralado,,,,,,,2.495,1,2.495,3.4319119669876206
,15,Adc. Picles,,,,,,,1.165,1,1.165,1.6024759284731775
,16,Adc. Requeijão Cremoso,,,,,,,0,1,0,0
,17,Adc. Maionese de Bacon,,,,,,,0,1,0,0
,18,Adc. Espeto Bovino,,,,,,,4.4,1,4.4,6.052269601100413
,23,Adc. Espeto Medalhão de Frango ,,,,,,,8.125,1,8.125,11.176066024759285
,24,Adc. Espeto de Frango,,,,,,,3.8000000000000003,1,3.8000000000000003,5.226960110041266
,25,Adc. Espeto Linguiça,,,,,,,3.8,1,3.8,5.226960110041265
,28,Adc. Espeto de Queijo Coalho,,,,,,,5.5,1,5.5,7.565337001375516
,29,Adc. Espeto de Medalhão de Queijo,,,,,,,12,1,12,16.506189821182943
,31,Adc. Azeitona Preta,,,,,,,1.9565217391304348,1,1.9565217391304348,2.691226601279828
,19,Porç. Vinagrete,,,,,,,3.1000666666666667,15,0.2066711111111111,0.28427938254623264
,20,Porç. Arroz,,,,,,,2.7182500000000003,9,0.3020277777777778,0.41544398593917164
,21,Porç. Mandioca,,,,,,,10.99,8,1.37375,1.8896148555708392
,22,Porç. Farofa,,,,,,,0.698,1,0.698,0.9601100412654745
,30,Suco de Cupuaçú 500ML,,,,,,,0,2,0,0
